zipcode,mean_household_income
94597,97310
95219,58304
94547,85163
94850,76911
93640,28367
93609,55561
93619,82052
93634,83478
93721,27682
93675,57797
93641,57797
93633,57797
95963,92318
95951,51052
95536,79742
95545,49350
95558,79742
92257,28781
92251,39589
92250,28781
92222,32461
93549,50990
93522,50990
93203,87421
93523,72336
93505,43915
93263,34779
93287,54796
95458,40216
91208,145027
91405,44593
91754,85670
91356,184020
93536,67512
91303,40160
91505,99883
91301,138020
91362,220198
90265,224035
90221,57944
90242,71029
91790,60748
91706,70746
91767,63906
91740,69066
90301,43462
90504,100674
90814,75785
91302,225432
90090,80259
90006,34288
90065,90878
91205,36948
91203,62334
91343,96996
90037,30071
90712,70079
90740,117552
90034,78010
90094,114982
90071,40354
93544,79786
91326,116150
90266,248064
91733,57889
94901,167514
94925,117188
94960,161900
94937,87280
94930,128269
94971,118315
94972,118315
95585,43696
95420,65205
93635,61100
95348,104235
95315,58904
96116,54310
96107,48322
93921,112840
93925,78581
93906,85123
95004,101869
93924,118571
93451,80031
92821,97200
90720,108491
92845,81564
92807,104428
92835,115398
92701,51054
92663,83403
92887,166046
92861,177526
92662,142912
95722,90326
95663,124348
95626,89356
95934,46638
95981,57772
96129,60014
92583,62087
92211,115013
92882,137761
92584,96823
92507,29093
95757,74601
95831,70097
95823,52464
95693,112532
95827,73122
95835,89970
92310,56285
91784,136082
92335,52141
92407,113865
92354,67053
92256,38832
92120,85858
92130,201644
91911,54948
92029,72241
91931,75043
91962,64774
91963,64774
94107,131600
94133,69502
95376,71201
95207,47369
95204,59212
95385,69306
95202,23941
95234,58828
93422,103703
93254,68839
94061,136340
94027,367938
94080,60928
94066,103249
94044,115009
94014,117598
93436,91307
93108,249935
93437,60629
95037,355685
95008,73557
95134,80031
95139,117903
95065,132092
96040,57407
96013,46664
96073,64062
96084,64062
96028,57407
95944,58780
96058,51506
96034,50389
96064,47814
96023,51506
96044,39947
96085,37275
95625,91145
95492,90008
94928,68526
95452,101950
95363,69306
95307,46526
95355,96150
95368,129826
95991,75324
95993,73365
96090,47235
93277,99463
93292,58774
93286,75084
93218,50856
93260,78043
93272,43943
93666,87996
95364,76040
93040,63046
93060,75660
93065,103438
91377,144532
95697,72546
94704,28382
94552,143553
94578,68996
94566,202953
94586,202953
94603,46391
94612,32126
94706,84534
95642,63859
95938,89119
95930,49341
95247,62661
95225,78725
95230,93408
95912,59767
94564,96451
94516,138888
95531,54294
95684,79260
95633,69899
95651,69899
96155,56924
93662,63773
93621,57797
93654,80417
93710,45021
93727,75614
93730,111730
95988,92318
95555,54098
95519,66025
95542,44582
95553,49350
95565,60605
92231,59768
92389,50990
89019,43202
89060,50990
93306,39625
93312,74831
93285,54796
93250,49022
93238,78043
93225,63046
93222,73003
93212,43943
93204,39796
95426,62576
96009,66749
96117,66749
96006,66749
91501,137192
91335,63898
91801,48706
91803,85483
