GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G75229","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75229",,,,,"ZCTA5 75229",,31571,31571,24810,1032,213,781,10,3993,732
"G75230","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75230",,,,,"ZCTA5 75230",,26934,26934,21680,1876,195,949,16,1714,504
"G75231","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75231",,,,,"ZCTA5 75231",,37052,37052,16646,8216,245,2571,17,8149,1208
"G75232","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75232",,,,,"ZCTA5 75232",,28682,28682,4488,19134,132,36,9,4297,586
"G75233","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75233",,,,,"ZCTA5 75233",,14043,14043,5389,5007,94,74,5,3067,407
"G75234","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75234",,,,,"ZCTA5 75234",,28794,28794,21008,1146,228,958,12,4628,814
"G75235","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75235",,,,,"ZCTA5 75235",,17177,17177,9859,2000,107,985,4,3691,531
"G75236","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75236",,,,,"ZCTA5 75236",,15949,15949,5088,6932,80,517,1,2866,465
"G75237","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75237",,,,,"ZCTA5 75237",,17101,17101,1563,14011,55,65,15,1019,373
"G75238","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75238",,,,,"ZCTA5 75238",,30483,30483,19989,4727,168,821,7,4028,743
"G75240","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75240",,,,,"ZCTA5 75240",,24296,24296,12839,2548,302,834,12,6933,828
"G75241","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75241",,,,,"ZCTA5 75241",,27066,27066,1362,23920,95,49,7,1370,263
"G75243","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75243",,,,,"ZCTA5 75243",,55406,55406,20659,22288,270,4006,27,6556,1600
"G75244","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75244",,,,,"ZCTA5 75244",,13266,13266,9470,1142,80,775,2,1434,363
"G75246","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75246",,,,,"ZCTA5 75246",,2770,2770,1417,464,27,54,1,736,71
"G75247","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75247",,,,,"ZCTA5 75247",,468,468,260,175,1,6,0,17,9
"G75248","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75248",,,,,"ZCTA5 75248",,33395,33395,26433,2719,150,1582,21,1730,760
"G75249","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75249",,,,,"ZCTA5 75249",,13373,13373,4186,6470,93,385,5,1856,378
