"county"	"state"	"region"	"population2000"	"black2000"	"white2000"	"medianincome2000"	"poverty2000"	"blue2000"	"red2000"	"population2008"	"black2008"	"white2008"	"medianincome2008"	"poverty2008"	"blue2008"	"red2008"	"population2010"	"black2010"	"white2010"	"medianincome2010"	"poverty2010"	"blue2010"	"red2010"	"blue2012"	"red2012"
"01101"	"alabama"	"east_south_central"	223510	0.48581	0.48848	36918	0.15248	0.50258	0.48336	229363	0.54707	0.39525	41084	0.16354	0.59351	0.40128	229363	0.54707	0.39525	41084	0.16354	0.59351	0.40128	0.618907261669663	0.376131105019601
"01103"	"alabama"	"east_south_central"	111064	0.11241	0.85073	39515	0.11047	0.37628	0.60388	119490	0.11871	0.79843	40317	0.11954	0.27492	0.71256	119490	0.11871	0.79843	40317	0.11954	0.27492	0.71256	0.272389121509004	0.717691776088459
"01105"	"alabama"	"east_south_central"	11861	0.68384	0.30857	20969	0.29424	0.69466	0.29929	10591	0.687	0.30252	24351	0.29884	0.72366	0.27261	10591	0.687	0.30252	24351	0.29884	0.72366	0.27261	0.747897774113768	0.2479802143446
"01107"	"alabama"	"east_south_central"	20949	0.42957	0.55945	27065	0.19791	0.48513	0.50422	19746	0.41583	0.56265	29677	0.24977	0.45634	0.53978	19746	0.41583	0.56265	29677	0.24977	0.45634	0.53978	0.463381602250234	0.533284717158037
"01109"	"alabama"	"east_south_central"	29605	0.36599	0.60767	26317	0.20963	0.41322	0.57454	32899	0.36639	0.5819	31229	0.19724	0.42128	0.57356	32899	0.36639	0.5819	31229	0.19724	0.42128	0.57356	0.42747385644163	0.564771999715444
"01111"	"alabama"	"east_south_central"	22380	0.22239	0.76381	29048	0.16336	0.39071	0.58922	22913	0.20106	0.76516	33869	0.16615	0.29507	0.69097	22913	0.20106	0.76516	33869	0.16615	0.29507	0.69097	0.296025406601867	0.69473582908286
"01113"	"alabama"	"east_south_central"	49756	0.40837	0.56695	28641	0.16814	0.56826	0.41949	52947	0.41806	0.53731	33537	0.21907	0.53317	0.46022	52947	0.41806	0.53731	33537	0.21907	0.53317	0.46022	0.556144348471199	0.438556515288008
"01115"	"alabama"	"east_south_central"	64742	0.08129	0.90031	37513	0.12727	0.2692	0.71054	83593	0.08553	0.88214	45601	0.11658	0.17868	0.81111	83593	0.08553	0.88214	45601	0.11658	0.17868	0.81111	0.164933770118217	0.826121635094716
"01117"	"alabama"	"east_south_central"	143293	0.07402	0.89796	59451	0.06572	0.21219	0.76698	195085	0.10627	0.83012	65408	0.05499	0.22754	0.76189	195085	0.10627	0.83012	65408	0.05499	0.22754	0.76189	0.216302980347924	0.772667129408702
"01119"	"alabama"	"east_south_central"	14798	0.73165	0.25922	20582	0.27679	0.7252	0.26758	13763	0.74955	0.24166	22857	0.30873	0.74986	0.24658	13763	0.74955	0.24166	22857	0.30873	0.74986	0.24658	0.77153024911032	0.225622775800712
"01121"	"alabama"	"east_south_central"	80321	0.31547	0.67019	31457	0.16161	0.44258	0.54249	82291	0.31662	0.65304	37260	0.17383	0.40285	0.588	82291	0.31662	0.65304	37260	0.17383	0.40285	0.588	0.41654410661224	0.57679262838791
"01123"	"alabama"	"east_south_central"	41475	0.2536	0.73476	30941	0.15301	0.38042	0.60327	41616	0.26632	0.69894	35702	0.18517	0.31397	0.6792	41616	0.26632	0.69894	35702	0.18517	0.31397	0.6792	0.334904649667881	0.659042211270624
"01125"	"alabama"	"east_south_central"	164875	0.29311	0.68124	34294	0.14445	0.40946	0.56564	194656	0.29596	0.66273	41842	0.15093	0.4156	0.57539	194656	0.29596	0.66273	41842	0.15093	0.4156	0.57539	0.407707497292821	0.582240907064144
"01127"	"alabama"	"east_south_central"	70713	0.06171	0.92151	30313	0.1469	0.45322	0.52595	67023	0.05861	0.91231	36582	0.17664	0.25897	0.72323	67023	0.05861	0.91231	36582	0.17664	0.25897	0.72323	0.229883847422536	0.759132540267397
"01129"	"alabama"	"east_south_central"	18097	0.26894	0.64978	31797	0.16881	0.44576	0.542	17581	0.24913	0.65457	36946	0.17707	0.34952	0.64433	17581	0.24913	0.65457	36946	0.17707	0.34952	0.64433	0.339116539207853	0.656203629722634
"01131"	"alabama"	"east_south_central"	13183	0.71903	0.27505	18813	0.29758	0.67187	0.32403	11670	0.72536	0.26787	22611	0.32691	0.71019	0.28765	11670	0.72536	0.26787	22611	0.32691	0.71019	0.28765	0.743393920879792	0.25599511226516
"01133"	"alabama"	"east_south_central"	24843	0.00378	0.97319	28366	0.17325	0.2889	0.68824	24484	0.0047	0.95609	31062	0.17714	0.17516	0.8078	24484	0.0047	0.95609	31062	0.17714	0.17516	0.8078	0.132413509060956	0.855642504118616
"02013"	"alaska"	"pacific"	2697	0.01669	0.23953	42703	0.11643	0	0	3141	0.06972	0.21012	50444	0.13658	0	0	3141	0.06972	0.21012	50444	0.13658	0	0	0	0
"02016"	"alaska"	"pacific"	5465	0.03019	0.40037	56365	0.06349	0	0	5561	0.0597	0.36037	58174	0.07265	0	0	5561	0.0597	0.36037	58174	0.07265	0	0	0	0
"02020"	"alaska"	"pacific"	260283	0.05839	0.72233	56690	0.06604	0	0	291826	0.0556	0.65963	72210	0.06729	0	0	291826	0.0556	0.65963	72210	0.06729	0	0	0	0
"02050"	"alaska"	"pacific"	16006	0.00381	0.12533	33353	0.22204	0	0	17013	0.00382	0.11133	41810	0.21337	0	0	17013	0.00382	0.11133	41810	0.21337	0	0	0	0
"02060"	"alaska"	"pacific"	1258	0.00556	0.52544	53828	0.05564	0	0	997	0	0.48245	64418	0.07422	0	0	997	0	0.48245	64418	0.07422	0	0	0	0
"02068"	"alaska"	"pacific"	1893	0.01426	0.85737	53087	0.0449	0	0	1826	0.00548	0.8965	62615	0.05476	0	0	1826	0.00548	0.8965	62615	0.05476	0	0	0	0
"02070"	"alaska"	"pacific"	4922	0.00366	0.21638	41007	0.17615	0	0	4847	0.00227	0.18114	46580	0.19806	0	0	4847	0.00227	0.18114	46580	0.19806	0	0	0	0
"02090"	"alaska"	"pacific"	82840	0.05846	0.77787	50354	0.06825	0	0	97581	0.04533	0.77039	64691	0.07178	0	0	97581	0.04533	0.77039	64691	0.07178	0	0	0	0
"02100"	"alaska"	"pacific"	2392	0.00125	0.82525	41018	0.09908	0	0	2508	0.00399	0.83174	48644	0.0937	0	0	2508	0.00399	0.83174	48644	0.0937	0	0	0	0
"02105"	"alaska"	"pacific"	3436	0.00146	0.58149	40209	0.07596	0	0	2150	0.00372	0.47163	41824	0.17442	0	0	2150	0.00372	0.47163	41824	0.17442	0	0	0	0
"02110"	"alaska"	"pacific"	30711	0.00808	0.74791	59650	0.05685	0	0	31275	0.00892	0.69749	73044	0.06545	0	0	31275	0.00892	0.69749	73044	0.06545	0	0	0	0
"02122"	"alaska"	"pacific"	49691	0.00461	0.86215	47255	0.08728	0	0	55400	0.00486	0.84579	57171	0.09711	0	0	55400	0.00486	0.84579	57171	0.09711	0	0	0	0
"02130"	"alaska"	"pacific"	14070	0.00498	0.74343	50278	0.06923	0	0	13477	0.00579	0.68086	58492	0.08377	0	0	13477	0.00579	0.68086	58492	0.08377	0	0	0	0
