STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
20049,3261,0.002146581,0.950628642,27778,0.158233671,0.259354839,0.696774194
20051,27507,0.006652852,0.960955393,34615,0.084305813,0.351792115,0.583870968
20053,6525,0.035555556,0.936704981,36482,0.076781609,0.29059528,0.649876717
20055,40523,0.012536091,0.690521432,39585,0.106482738,0.26568306,0.704043716
20057,32458,0.016236367,0.748505761,38331,0.1113747,0.287764943,0.678479309
20059,24784,0.012064235,0.950451904,39902,0.088403809,0.343860012,0.613481052
20061,27947,0.220309872,0.641321072,32588,0.105270691,0.387416254,0.579230993
20063,3068,0.000977836,0.97946545,35691,0.093546284,0.197993311,0.750501672
20065,2946,0.032247115,0.949083503,33010,0.10556687,0.234735414,0.717774763
20067,7909,0.00214945,0.770008851,41891,0.094449361,0.239145658,0.744397759
20069,5904,0.001863144,0.923102981,42562,0.077235772,0.223148148,0.755092593
20071,1534,0.001955671,0.930899609,37288,0.090612777,0.178082192,0.782067248
20073,7673,0.001433598,0.965332986,30927,0.128241887,0.288402134,0.671721427
20075,2670,0.004868914,0.816479401,34559,0.123220974,0.22147651,0.755872483
20077,6536,0.002294982,0.972307222,31331,0.110159119,0.284451718,0.679541735
20079,32869,0.015881225,0.910401898,42482,0.072013143,0.335501315,0.60442853
20081,4307,0.001857441,0.85070815,41564,0.097283492,0.162747525,0.818688119
20083,2085,0.00911271,0.973141487,38216,0.084892086,0.199448529,0.767463235
20085,12657,0.005293513,0.902109505,41734,0.083827131,0.379047619,0.571619048
20087,18426,0.003744709,0.967003148,46249,0.066210789,0.380855656,0.561508188
20089,3791,0.000263783,0.987865998,31409,0.107887101,0.202450719,0.745871071
20091,451086,0.026114754,0.911112293,66796,0.036234776,0.363700721,0.597441343
20093,4531,0.005517546,0.803354668,41393,0.10240565,0.222686152,0.754349339
20095,8673,0.002075406,0.974518621,38604,0.093047388,0.260241597,0.701680672
20097,3278,0.002135448,0.971934106,33272,0.101281269,0.182835821,0.784825871
