STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
32019,51980,0.008022316,0.849634475,51151,0.096998846,0.398284604,0.575937071
32021,4772,0.041072925,0.725481978,36017,0.153394803,0.469007369,0.490247074
32023,43946,0.019888044,0.85912256,43215,0.158763027,0.413126751,0.545251844
32027,6753,0.03746483,0.818599141,45644,0.130904783,0.366557734,0.585511983
32029,4010,0.009975062,0.920947631,54246,0.055361596,0.455748553,0.515715467
32031,421407,0.02328865,0.769019024,53036,0.117765011,0.552457126,0.42613101
32033,10030,0.039381854,0.854935194,48063,0.107078764,0.320145757,0.635085893
32510,55274,0.01906864,0.810634295,52548,0.105601187,0.490836149,0.482221284
33001,60088,0.00464319,0.966232858,52987,0.090966582,0.499672755,0.487951449
33003,47818,0.002906855,0.975093061,49066,0.089756995,0.523850496,0.460731002
33005,77117,0.005057251,0.962680084,51256,0.097669774,0.629825094,0.355066203
33007,33055,0.004477386,0.969444865,40835,0.122795341,0.583068265,0.401149988
33009,89118,0.009291052,0.935680783,52081,0.0943356,0.630306675,0.354519944
33011,400721,0.020707674,0.903753484,64455,0.068955707,0.512043926,0.474712885
33013,146445,0.010447608,0.953320359,61439,0.082440507,0.562729384,0.424562455
33015,295223,0.006760991,0.955094962,70196,0.047489525,0.498879765,0.488118364
33017,123143,0.010085835,0.938299376,55415,0.099973202,0.595006891,0.391883849
33019,43742,0.004229345,0.969800192,48042,0.094783046,0.582271249,0.402962117
34001,274549,0.160765474,0.654039898,51585,0.107441659,0.569798895,0.419196586
34003,905116,0.057973785,0.718916691,80604,0.052250761,0.543402623,0.448765832
34005,448734,0.166033775,0.738392901,74481,0.051981798,0.587967236,0.40159696
34007,513657,0.195540993,0.652943501,60445,0.110717853,0.675673726,0.313185181
34009,97265,0.046933635,0.898257338,49797,0.085333882,0.450339333,0.536795515
34011,156898,0.202303407,0.627350253,47921,0.123392268,0.601377766,0.38508568
34013,783969,0.408790399,0.42586888,53712,0.13853609,0.760021886,0.23424093
34015,288288,0.100614663,0.835588023,69928,0.06742563,0.554163379,0.432582658
34017,634266,0.132318302,0.540454636,55767,0.138268487,0.72944272,0.261982282
